DN20020 ,Modina Gen.Store 
23.740505, 90.42596833
DN20015 ,Muslim Misttanno Vander & Bakery 
23.83012833, 90.376125
DN20022 ,Computer tecnology 
23.83505667, 90.26008
DSEA-0021 ,M/S Shormila Store 
23.7400348, 90.4244195
DN20020 ,Chandpur General Store 
23.81441, 90.35595833
DSEA-0021 ,M/S Shormila Store 
23.7400348, 90.4244195
DN30018 , Ittadi Library  Stationery & Gift 
23.79205333, 90.34244333
DN30019 ,Mollah Store 
23.7414174, 90.3915159
DSEA-0021 ,M/S Shormila Store 
23.740555, 90.42621667
DN20016 ,Ayesha Traders 
23.7690439, 90.4310806
DSEA-0021 ,M/S Shormila Store 
23.7400348, 90.4244195
DN20020 ,M/S.Haque Store 
23.8159086, 90.3578807
DN30018 ,Janani Biponi 
23.79225667, 90.34268
DN30019 ,Manikgonj general store 
23.746683, 90.3925837
DSEA-0021 ,M/S Shormila Store 
23.74063167, 90.42605333
DN20016 ,Aysha Traders 
23.7835103, 90.4235492
DSEA-0021 ,M/S Shormila Store 
23.74073333, 90.42614
DN20022 ,Bismillah store 
23.83435833, 90.26030833
DN20015 ,Taohid Tayeb Verities Store 
23.82835833, 90.3678
DN20020 ,Bonolata Sweets & Bakery 
23.81647167, 90.35618167
DN10026 ,Shohel Enterprise 
23.79244167, 90.36502
DN20015 ,Vai Vai Varieties Store 
23.827845, 90.36799167
DSWA-0013 ,Promi Medicine Corner 
23.550513, 90.4955638
DN30019 ,Sawdia Supper Shop 
23.7465808, 90.3919872
DN10004 ,Abdul Awal Store 
23.79332333, 90.385835
DSWA-0013 ,Promi Medicine Corner 
23.550513, 90.4955638
DN30018 ,Babul Genarel Store 
23.79389667, 90.34813667
DN20020 ,Haque Bakery & Sweets 
23.81703, 90.35593167
DN20015 ,Sezan Confectionery & Food Corner 
23.82837667, 90.366855
DN30019 ,Shahjan general store 
23.74782833, 90.38736167
DN10026 ,Bismillah Gen. Store 
23.792535, 90.36483667
DN20022 ,Sahjahan store 
23.83562333, 90.26196833
DN20018 ,Shompa General Store 
23.7835103, 90.4235492
DN30019 ,Ghorowa general store 
23.7465808, 90.3919872
DN20021 ,M/S Bebe Sokina Enterprise 
23.75762167, 90.35275667
DN20015 ,Al Rafi General Store 
